RedFighter,BlueFighter,Date,RedHeight,RedWeight,RedReach,RedStance,RedDOB,RedSLpM,RedStr. Acc.,RedSApM,RedStr. Def.,RedTD Avg.,RedTD Acc.,RedTD Def.,RedSub. Avg.,RedWins,RedLosses,RedDraws,RedNoContests,BlueHeight,BlueWeight,BlueReach,BlueStance,BlueDOB,BlueSLpM,BlueStr. Acc.,BlueSApM,BlueStr. Def.,BlueTD Avg.,BlueTD Acc.,BlueTD Def.,BlueSub. Avg.,BlueWins,BlueLosses,BlueDraws,BlueNoContests,Result
Islam Makhachev,Renato Moicano,1737158400.0,70.0,155.0,70.0,Southpaw,688521600.0,2.63,58.0,1.55,61.0,3.2,53.0,90.0,1.1,27,1,0,0,71.0,155.0,72.0,Orthodox,611712000.0,4.36,48.0,3.55,60.0,1.82,44.0,71.0,0.6,20,6,1,0,W
Merab Dvalishvili,Umar Nurmagomedov,1737158400.0,66.0,135.0,68.0,Orthodox,663465600.0,4.36,42.0,2.51,56.0,5.89,35.0,82.0,0.3,19,4,0,0,68.0,135.0,69.0,Orthodox,820627200.0,4.38,57.0,2.15,60.0,3.26,39.0,78.0,0.3,18,1,0,0,W
Jiri Prochazka,Jamahal Hill,1737158400.0,75.0,205.0,80.0,Orthodox,719020800.0,5.74,55.0,5.7,43.0,0.6,60.0,68.0,0.2,31,5,1,0,76.0,205.0,79.0,Southpaw,674611200.0,7.05,53.0,4.02,45.0,0.0,0.0,73.0,0.0,12,3,0,1,W
Jailton Almeida,Serghei Spivac,1737158400.0,75.0,205.0,79.0,Orthodox,677894400.0,2.62,65.0,0.89,41.0,6.58,60.0,60.0,2.4,22,3,0,0,75.0,260.0,78.0,Orthodox,790905600.0,3.49,49.0,3.77,48.0,4.56,65.0,63.0,0.6,17,5,0,0,W
Kevin Holland,Reinier de Ridder,1737158400.0,75.0,185.0,81.0,Orthodox,720921600.0,4.22,49.0,3.22,50.0,0.82,38.0,53.0,0.6,26,13,0,1,76.0,185.0,78.0,Southpaw,652665600.0,3.28,57.0,2.69,38.0,6.89,46.0,100.0,2.0,19,2,0,0,L
Payton Talbott,Raoni Barcelos,1737158400.0,70.0,135.0,70.0,Switch,905299200.0,6.73,55.0,3.75,44.0,0.32,33.0,75.0,0.3,9,1,0,0,67.0,135.0,67.0,Orthodox,546825600.0,5.11,53.0,4.64,60.0,2.46,37.0,82.0,0.7,19,5,0,0,L
Zachary Reese,Azamat Bekoev,1737158400.0,76.0,185.0,77.0,Switch,764467200.0,4.94,58.0,3.45,42.0,3.5,55.0,33.0,2.1,8,2,0,0,72.0,185.0,72.0,Orthodox,820281600.0,6.85,80.0,4.24,45.0,4.89,50.0,0.0,0.0,19,3,0,0,L
Bogdan Guskov,Billy Elekana,1737158400.0,75.0,205.0,76.0,Orthodox,716256000.0,3.96,55.0,3.22,43.0,0.0,0.0,57.0,1.2,17,3,0,0,75.0,205.0,77.0,Southpaw,801619200.0,2.34,71.0,5.5,33.0,1.75,100.0,0.0,0.0,7,2,0,0,W
Grant Dawson,Diego Ferreira,1737158400.0,70.0,155.0,72.0,Switch,761702400.0,3.2,52.0,2.11,44.0,3.87,40.0,57.0,1.1,23,2,1,0,69.0,155.0,74.0,Orthodox,474854400.0,4.82,40.0,3.46,55.0,0.86,30.0,57.0,0.6,19,6,0,0,W
Karol Rosa,Ailin Perez,1737158400.0,65.0,135.0,67.0,Orthodox,788745600.0,6.22,55.0,4.84,49.0,1.09,46.0,70.0,0.0,18,7,0,0,65.0,135.0,66.0,Switch,781315200.0,3.1,54.0,1.79,55.0,4.68,46.0,66.0,0.2,12,2,0,0,L
Rinya Nakamura,Muin Gafurov,1737158400.0,67.0,135.0,68.0,Southpaw,795916800.0,3.1,51.0,1.7,64.0,2.63,81.0,100.0,1.5,9,1,0,0,67.0,135.0,68.0,Orthodox,832291200.0,2.89,45.0,2.21,52.0,1.47,26.0,70.0,0.0,20,6,0,0,L
Ricky Turcios,Benardo Sopaj,1737158400.0,69.0,135.0,71.0,Orthodox,739238400.0,4.73,40.0,3.72,52.0,0.91,20.0,44.0,0.4,13,5,0,0,66.0,135.0,66.0,Orthodox,969840000.0,4.24,56.0,4.88,49.0,2.53,71.0,76.0,0.0,12,3,0,0,L
Tagir Ulanbekov,Clayton Carpenter,1737158400.0,67.0,125.0,70.0,Southpaw,681523200.0,3.13,47.0,3.2,49.0,3.56,47.0,63.0,1.7,16,2,0,0,66.0,125.0,66.0,Orthodox,834278400.0,3.91,55.0,2.75,55.0,2.23,46.0,42.0,1.5,8,1,0,0,W
Mackenzie Dern,Amanda Ribas,1736553600.0,64.0,115.0,63.0,Orthodox,732931200.0,3.31,40.0,3.9,52.0,0.89,17.0,25.0,1.2,15,5,0,0,63.0,115.0,66.0,Orthodox,746323200.0,4.29,39.0,3.24,60.0,2.06,53.0,83.0,0.6,13,6,0,0,W
Santiago Ponzinibbio,Carlston Harris,1736553600.0,72.0,170.0,73.0,Orthodox,528076800.0,4.8,41.0,4.61,61.0,0.56,32.0,71.0,0.0,31,8,0,0,72.0,170.0,76.0,Orthodox,552787200.0,3.79,43.0,3.46,54.0,1.46,22.0,55.0,0.6,19,7,0,0,W
Cesar Almeida,Abdul Razak Alhassan,1736553600.0,73.0,185.0,74.0,Orthodox,575510400.0,4.16,58.0,2.32,48.0,0.0,0.0,60.0,0.3,7,1,0,0,70.0,185.0,73.0,Orthodox,492566400.0,3.64,49.0,4.01,54.0,0.84,33.0,51.0,0.2,12,7,0,1,W
Chris Curtis,Roman Kopylov,1736553600.0,70.0,185.0,75.0,Orthodox,553305600.0,6.16,51.0,6.43,53.0,0.0,0.0,82.0,0.0,31,12,0,1,72.0,185.0,75.0,Southpaw,673315200.0,4.96,50.0,4.86,55.0,1.17,42.0,87.0,0.0,14,3,0,0,L
Christian Rodriguez,Austin Bashi,1736553600.0,67.0,145.0,71.0,Orthodox,882316800.0,3.54,48.0,2.41,57.0,1.21,53.0,69.0,1.2,12,2,0,0,66.0,145.0,70.0,Orthodox,1001721600.0,1.94,48.0,2.71,46.0,8.39,39.0,62.0,1.3,13,1,0,0,W
Punahele Soriano,Uros Medic,1736553600.0,71.0,170.0,72.0,Southpaw,722390400.0,5.0,53.0,3.88,48.0,1.47,56.0,37.0,0.0,11,4,0,0,73.0,170.0,71.0,Southpaw,735696000.0,5.49,60.0,3.46,56.0,0.37,50.0,55.0,0.0,10,3,0,0,W
Jose Johnson,Felipe Bunes,1736553600.0,72.0,125.0,71.0,Orthodox,800928000.0,2.27,57.0,1.61,53.0,0.69,60.0,41.0,0.7,16,10,0,0,67.0,125.0,69.0,Orthodox,625622400.0,4.49,53.0,7.86,41.0,2.59,25.0,0.0,2.6,14,7,0,0,L
Marco Tulio,Ihor Potieria,1736553600.0,72.0,185.0,74.0,Orthodox,771465600.0,5.02,51.0,2.68,58.0,1.17,20.0,0.0,0.6,13,1,0,0,75.0,185.0,75.0,Southpaw,833328000.0,4.44,50.0,4.96,50.0,0.73,18.0,66.0,0.0,20,8,0,0,W
Thiago Moises,Trey Ogden,1736553600.0,69.0,155.0,70.0,Orthodox,795916800.0,2.5,41.0,4.12,53.0,1.34,35.0,53.0,1.2,19,8,0,0,71.0,155.0,72.0,Orthodox,627004800.0,3.2,50.0,3.49,55.0,1.89,32.0,100.0,0.7,18,7,0,1,W
Preston Parsons,Jacobe Smith,1736553600.0,71.0,170.0,71.0,Orthodox,805766400.0,3.54,51.0,3.25,54.0,3.46,36.0,71.0,2.3,11,6,0,0,70.0,170.0,72.0,Southpaw,821836800.0,7.34,70.0,1.97,52.0,11.5,87.0,0.0,0.0,10,0,0,0,L
Ernesta Kareckaite,Nicolle Caliari,1736553600.0,69.0,125.0,71.0,Orthodox,899596800.0,7.38,42.0,6.09,48.0,0.67,66.0,82.0,0.0,6,1,1,0,63.0,125.0,62.0,Orthodox,847065600.0,3.85,41.0,5.57,55.0,3.8,29.0,0.0,1.5,8,3,0,0,W
