Name,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws,NoContests
Danny Abbadi,71.0,155.0,,Orthodox,426038400.0,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0,4,6,0,0
Hamdy Abdelwahab,74.0,264.0,72.0,Southpaw,727660800.0,3.4,51.0,3.87,51.0,2.0,80.0,100.0,0.0,6,0,0,1
Mansur Abdul-Malik,74.0,185.0,79.0,Orthodox,876182400.0,6.61,54.0,4.21,53.0,0.0,0.0,75.0,0.0,7,0,0,0
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,368236800.0,2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1,20,8,0,0
Daichi Abe,71.0,170.0,71.0,Orthodox,691200000.0,3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0,6,2,0,0
Papy Abedi,71.0,185.0,,Southpaw,268012800.0,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,10,4,0,0
Ricardo Abreu,71.0,185.0,,Orthodox,451872000.0,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,5,1,0,0
Klidson Abreu,72.0,205.0,74.0,Orthodox,725155200.0,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0,15,4,0,1
Juan Adams,77.0,265.0,80.0,Orthodox,695520000.0,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0,5,3,0,0
Zarrukh Adashev,65.0,125.0,65.0,Southpaw,712368000.0,3.65,40.0,3.04,64.0,0.0,0.0,100.0,0.5,4,4,0,0
Israel Adesanya,76.0,185.0,80.0,Switch,617068800.0,4.02,48.0,3.2,55.0,0.05,11.0,76.0,0.1,24,5,0,0
Sam Adkins,75.0,225.0,,Orthodox,-147830400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,2,0
Nick Agallar,68.0,155.0,,Orthodox,285033600.0,0.69,11.0,4.56,42.0,0.0,0.0,0.0,0.0,24,6,0,0
Mariya Agapova,66.0,125.0,68.0,Southpaw,860371200.0,4.43,54.0,3.62,52.0,0.55,66.0,45.0,0.8,10,5,0,0
Jessica Aguilar,63.0,115.0,63.0,Orthodox,389664000.0,4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2,20,8,0,0
Kevin Aguilar,67.0,155.0,73.0,Orthodox,589593600.0,3.96,40.0,4.81,52.0,0.16,16.0,78.0,0.0,17,5,0,0
Jesus Aguilar,64.0,125.0,62.0,Orthodox,826675200.0,1.46,51.0,1.26,58.0,1.75,33.0,36.0,1.8,11,2,0,0
Christian Aguilera,69.0,170.0,72.0,Switch,691027200.0,2.54,37.0,4.04,48.0,0.0,0.0,60.0,0.0,14,8,0,0
Nick Aguirre,69.0,135.0,74.0,Southpaw,821664000.0,0.73,33.0,2.89,45.0,1.16,20.0,33.0,0.6,7,2,0,0
Omari Akhmedov,72.0,185.0,73.0,Orthodox,560995200.0,2.97,34.0,2.84,55.0,2.58,45.0,65.0,0.2,21,6,1,0
Yoshihiro Akiyama,70.0,170.0,75.0,Orthodox,175824000.0,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,14,6,0,2
Rostem Akman,70.0,170.0,72.0,Switch,693100800.0,1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0,6,2,0,0
Razak Al-Hassan,74.0,205.0,,Orthodox,390182400.0,3.27,39.0,3.14,60.0,0.65,14.0,57.0,0.0,13,5,0,0
Abdul-Kareem Al-Selwady,68.0,155.0,69.0,Orthodox,797472000.0,4.14,34.0,3.6,59.0,2.32,30.0,20.0,0.0,15,4,0,0
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,111456000.0,1.36,19.0,3.61,53.0,0.0,0.0,0.0,0.0,6,6,0,0
Alatengheili,65.0,135.0,66.0,Orthodox,692668800.0,2.64,32.0,4.67,57.0,1.99,45.0,75.0,0.0,17,9,2,0
Amir Albazi,65.0,125.0,68.0,Orthodox,751680000.0,2.72,34.0,3.71,61.0,1.39,32.0,50.0,0.5,17,2,0,0
John Albert,68.0,135.0,68.0,Orthodox,529545600.0,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,6,5,0,0
Junior Albini,75.0,264.0,74.0,Orthodox,668995200.0,3.98,51.0,6.08,52.0,1.54,37.0,100.0,0.0,14,6,0,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,334195200.0,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,35,10,0,1
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,406425600.0,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,21,11,0,0
Alfonso Alcarez,63.0,145.0,,,13824000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0
Gilbert Aldana,73.0,250.0,,Orthodox,241315200.0,2.91,54.0,6.26,26.0,2.57,40.0,33.0,0.0,6,2,0,0
Irene Aldana,69.0,135.0,68.0,Orthodox,575337600.0,5.19,39.0,6.64,56.0,0.15,50.0,77.0,0.2,15,8,0,0
Hector Aldana,71.0,170.0,72.0,Orthodox,587779200.0,3.59,38.0,5.08,59.0,0.93,100.0,0.0,0.0,4,3,0,0
Jose Aldo,67.0,135.0,70.0,Orthodox,526608000.0,3.62,46.0,3.72,60.0,0.49,53.0,92.0,0.1,32,9,0,0
JJ Aldrich,65.0,125.0,67.0,Southpaw,717724800.0,3.88,46.0,4.38,60.0,0.66,23.0,66.0,0.0,13,7,0,0
Irina Alekseeva,68.0,135.0,67.0,Orthodox,646444800.0,3.84,43.0,3.55,48.0,0.87,20.0,100.0,0.9,5,2,0,0
Talita Alencar,61.0,115.0,58.0,Orthodox,656121600.0,2.49,28.0,4.8,52.0,2.0,13.0,50.0,0.0,5,1,1,0
Jim Alers,69.0,145.0,71.0,Orthodox,529632000.0,2.9,40.0,4.38,56.0,2.26,41.0,80.0,0.3,13,3,0,1
